date,account,trades_count,net_pnl,avg_pnl,total_volume,profitable_trades,win_rate,profitable_day,value,classification,sentiment_numeric
2024-06-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,108,514.8865,4.7675,108996.49,32,0.2962962962962963,1,72.0,Greed,3.0
2024-06-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,58,4051.7409,69.8576,934261.01,20,0.3448275862068966,1,72.0,Greed,3.0
2024-06-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1,0.0,0.0,292.11,0,0.0,0,72.0,Greed,3.0
2024-06-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,20,2488.7482,124.4374,2488.73,20,1.0,1,72.0,Greed,3.0
2024-07-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,97,-835.6812,-8.6153,1048850.06,9,0.09278350515463918,0,53.0,Neutral,2.0
2024-07-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,15,241.2421,16.0828,6758.73,2,0.13333333333333333,1,51.0,Neutral,2.0
2024-07-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,23,0.0,0.0,49988.14,0,0.0,0,44.0,Fear,1.0
2024-07-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,10,656.217,65.6217,98901.26,7,0.7,1,29.0,Fear,1.0
2024-07-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1,0.0,0.0,47.59,0,0.0,0,29.0,Fear,1.0
2024-07-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,7,227.3207,32.4744,9768.73,2,0.2857142857142857,1,29.0,Fear,1.0
2024-07-06,0x4f93fead39b70a1824f981a54d4e55b278e9f760,52,7329.2231,140.9466,785972.7,30,0.5769230769230769,1,26.0,Fear,1.0
2024-07-06,0x8477e447846c758f5a675856001ea72298fd9cb5,374,1573.2443,4.2065,311529.93,146,0.39037433155080214,1,26.0,Fear,1.0
2024-07-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14,0.0,0.0,1086.13,0,0.0,0,26.0,Fear,1.0
2024-07-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,10,61.4289,6.1429,498.75,10,1.0,1,29.0,Fear,1.0
2024-07-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,11,0.0,0.0,0.04,0,0.0,0,28.0,Fear,1.0
2024-07-08,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,1,0.0,0.0,500.0,0,0.0,0,28.0,Fear,1.0
